Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HomeGoalsAvg,AwayGoalsAvg,HomeConcedeAvg,AwayConcedeAvg,HomeRecentPoints,AwayRecentPoints,HomeWinRate,AwayWinRate,HomeCleanSheetRate,AwayCleanSheetRate,HomeBTTSRate,AwayBTTSRate,HomeOver25Rate,AwayOver25Rate,HomeGoalsAvgHome,HomeConcedeAvgHome,HomeRecentPointsHome,AwayGoalsAvgAway,AwayConcedeAvgAway,AwayRecentPointsAway,H2HHomeWins,H2HAwayWins,H2HDraws,H2HGoalsAvg,HomeAttackStrength,AwayAttackStrength,HomeDefenseStrength,AwayDefenseStrength,ExpectedHomeGoals,ExpectedAwayGoals
2015-08-08,Chelsea,Swansea,2.0,2.0,D,2.0,1.0,H,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-08,Norwich,Crystal Palace,1.0,3.0,A,0.0,1.0,A,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-08,Bournemouth,Aston Villa,0.0,1.0,A,0.0,0.0,D,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-08,Everton,Watford,2.0,2.0,D,0.0,1.0,A,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-08,Leicester,Sunderland,4.0,2.0,H,3.0,0.0,H,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-08,Man United,Tottenham,1.0,0.0,H,1.0,0.0,H,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-09,Arsenal,West Ham,0.0,2.0,A,0.0,1.0,A,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-09,Newcastle,Southampton,2.0,2.0,D,1.0,1.0,D,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-09,Stoke,Liverpool,0.0,1.0,A,0.0,0.0,D,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-10,West Brom,Man City,0.0,3.0,A,0.0,2.0,A,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-14,Aston Villa,Man United,0.0,1.0,A,0.0,1.0,A,1.0,1.0,0.0,0.0,3,3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-15,Tottenham,Stoke,2.0,2.0,D,2.0,0.0,H,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-15,Swansea,Newcastle,2.0,0.0,H,1.0,0.0,H,2.0,2.0,2.0,2.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-15,Sunderland,Norwich,1.0,3.0,A,0.0,2.0,A,2.0,1.0,4.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-15,Southampton,Everton,0.0,3.0,A,0.0,2.0,A,2.0,2.0,2.0,2.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-15,West Ham,Leicester,1.0,2.0,A,0.0,2.0,A,2.0,4.0,0.0,2.0,3,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-15,Watford,West Brom,0.0,0.0,D,0.0,0.0,D,2.0,0.0,2.0,3.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-16,Crystal Palace,Arsenal,1.0,2.0,A,1.0,1.0,D,3.0,0.0,1.0,2.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-16,Man City,Chelsea,3.0,0.0,H,1.0,0.0,H,3.0,2.0,0.0,2.0,3,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-17,Liverpool,Bournemouth,1.0,0.0,H,1.0,0.0,H,1.0,0.0,0.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-22,Man United,Newcastle,0.0,0.0,D,0.0,0.0,D,1.0,1.0,0.0,2.0,6,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,3,0.0,2.0,0,0,0,0,0.0,0.87,0.0,0.0,1.739,2.337,0.0
2015-08-22,Norwich,Stoke,1.0,1.0,D,1.0,1.0,D,2.0,1.0,2.0,1.5,3,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,3.0,0,2.0,2.0,1,0,0,0,0.0,0.913,1.355,2.032,1.826,2.575,3.525
2015-08-22,Crystal Palace,Aston Villa,2.0,1.0,H,0.0,0.0,D,2.0,0.5,1.5,0.5,3,3,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,2.0,0,1.0,0.0,3,0,0,0,0.0,0.917,0.688,1.375,0.0,0.0,1.211
2015-08-22,Sunderland,Swansea,1.0,1.0,D,0.0,1.0,A,1.5,2.0,3.5,1.0,0,4,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,3.0,0,2.0,2.0,1,0,0,0,0.0,0.885,1.394,2.091,1.769,2.418,3.732
2015-08-22,West Ham,Bournemouth,3.0,4.0,A,0.0,2.0,A,1.5,0.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0,0.0,1.0,0,0,0,0,0.0,0.889,0.0,1.412,0.889,1.221,0.0
2015-08-22,Leicester,Tottenham,1.0,1.0,D,0.0,0.0,D,3.0,1.0,1.5,1.5,6,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,4.0,2.0,3,0.0,1.0,0,0,0,0,0.0,3.333,0.0,1.316,0.833,4.289,0.0
2015-08-23,West Brom,Chelsea,2.0,3.0,A,1.0,3.0,A,0.0,1.0,1.5,2.5,1,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,3.0,0,0.0,3.0,0,0,0,0,0.0,0.0,0.0,2.0,2.516,0.0,0.0
2015-08-23,Everton,Man City,0.0,2.0,A,0.0,0.0,D,2.5,3.0,1.0,0.0,4,6,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1,3.0,0.0,3,0,0,0,0.0,1.636,1.929,1.286,0.0,0.0,3.176
2015-08-23,Watford,Southampton,0.0,0.0,D,0.0,0.0,D,1.0,1.0,1.0,2.5,2,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1,2.0,2.0,1,0,0,0,0.0,0.0,1.273,0.0,1.697,0.0,0.0
2015-08-24,Arsenal,Liverpool,0.0,0.0,D,0.0,0.0,D,1.0,1.0,1.5,0.0,3,6,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,1.0,0.0,3,0,0,0,0.0,0.0,0.659,1.318,0.0,0.0,1.112
2015-08-29,Chelsea,Crystal Palace,1.0,2.0,A,0.0,0.0,D,1.6666666666666667,2.0,2.333333333333333,1.3333333333333333,4,6,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1,3.0,1.0,3,0,0,0,0.0,1.818,2.045,1.364,0.909,2.553,3.571
2015-08-29,Liverpool,West Ham,0.0,3.0,A,0.0,2.0,A,0.6666666666666666,2.0,0.0,2.0,7,3,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.6666666666666666,1.0,0.0,3,2.0,0.0,3,0,0,0,0.0,0.912,1.348,0.0,0.0,0.0,0.0
2015-08-29,Man City,Watford,2.0,0.0,H,0.0,0.0,D,2.6666666666666665,0.6666666666666666,0.0,0.6666666666666666,9,3,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,3.0,0.0,3,2.0,2.0,1,0,0,0,0.0,2.824,1.306,0.0,1.882,8.21,0.0
2015-08-29,Newcastle,Arsenal,0.0,1.0,A,0.0,0.0,D,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.0,2,4,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,2.0,2.0,1,2.0,1.0,3,0,0,0,0.0,1.833,1.347,1.347,0.917,2.596,2.323
2015-08-29,Aston Villa,Sunderland,2.0,2.0,D,2.0,1.0,H,0.6666666666666666,1.3333333333333333,1.0,2.6666666666666665,3,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,1.0,0,2.0,4.0,0,0,0,0,0.0,0.0,1.36,0.68,3.778,0.0,1.184
2015-08-29,Stoke,West Brom,0.0,1.0,A,0.0,1.0,A,1.0,0.6666666666666666,1.3333333333333333,2.0,2,1,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.673,0.0,0.0,0.0
2015-08-29,Tottenham,Everton,0.0,0.0,D,0.0,0.0,D,1.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,2,4,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,2.0,2.0,1,3.0,0.0,3,0,0,0,0.0,1.895,2.038,1.358,0.0,0.0,3.543
2015-08-29,Bournemouth,Leicester,1.0,1.0,D,1.0,0.0,H,1.3333333333333333,2.333333333333333,1.6666666666666667,1.3333333333333333,3,7,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,1.0,0,2.0,1.0,3,0,0,0,0.0,0.0,1.396,0.698,0.974,0.0,1.247
2015-08-30,Southampton,Norwich,3.0,0.0,H,1.0,0.0,H,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.6666666666666667,2,4,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,3.0,0,3.0,1.0,3,0,0,0,0.0,0.0,2.111,2.111,0.974,0.0,5.705
2015-08-30,Swansea,Man United,2.0,1.0,H,0.0,0.0,D,1.6666666666666667,0.6666666666666666,1.0,0.0,5,7,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1.0,0.0,3,0,0,0,0.0,1.857,0.722,0.0,0.0,0.0,0.0
2015-09-12,Crystal Palace,Man City,0.0,1.0,A,0.0,0.0,D,2.0,2.5,1.25,0.0,9,12,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,1.5,1.5,3,2.5,0.0,6,0,0,0,0.0,1.364,1.818,1.091,0.0,0.0,2.539
2015-09-12,Watford,Swansea,1.0,0.0,H,0.0,0.0,D,0.5,1.75,1.0,1.0,3,8,0.0,0.5,0.0,0.25,0.0,0.75,0.0,0.5,0.0,0.0,2,1.5,1.5,2,0,0,0,0.0,0.0,1.098,0.0,1.398,0.0,0.0
2015-09-12,Arsenal,Stoke,2.0,0.0,H,1.0,0.0,H,0.75,0.75,0.75,1.25,7,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,1.0,1,1.5,1.5,2,0,0,0,0.0,0.0,1.125,0.75,1.4,0.0,1.08
2015-09-12,West Brom,Southampton,0.0,0.0,D,0.0,0.0,D,0.75,1.25,1.5,1.25,4,5,0.0,0.25,0.0,0.5,0.0,0.25,0.0,0.75,1.0,3.0,0,1.0,1.0,2,0,0,0,0.0,0.915,0.768,2.304,0.915,1.293,2.265
2015-09-12,Everton,Chelsea,3.0,1.0,H,2.0,1.0,H,1.25,1.5,1.0,2.25,5,4,0.0,0.25,0.0,0.0,0.0,0.75,0.0,1.0,1.0,2.0,1,1.5,2.5,3,0,0,0,0.0,0.936,1.179,1.571,2.34,3.383,2.371
2015-09-12,Man United,Liverpool,3.0,1.0,H,0.0,0.0,D,0.75,0.5,0.5,0.75,7,7,0.0,0.5,0.0,0.75,0.0,0.0,0.0,0.25,0.5,0.0,4,0.5,0.0,4,0,0,0,0.0,0.45,0.395,0.0,0.0,0.0,0.0
2015-09-12,Norwich,Bournemouth,3.0,1.0,H,1.0,0.0,H,1.25,1.25,2.0,1.5,4,4,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.25,1.0,2.0,1,2.0,2.0,3,0,0,0,0.0,0.868,1.586,1.586,1.736,2.328,3.22
2015-09-13,Sunderland,Tottenham,0.0,1.0,A,0.0,0.0,D,1.5,0.75,2.5,1.0,2,3,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.25,1.0,2.0,1,0.5,1.0,1,0,0,0,0.0,0.839,0.398,1.593,0.839,1.087,0.812
2015-09-13,Leicester,Aston Villa,3.0,2.0,H,0.0,1.0,A,2.0,1.0,1.25,1.25,8,4,0.0,0.25,0.0,0.25,0.0,0.5,0.0,0.5,2.5,1.5,4,1.0,1.0,3,0,0,0,0.0,2.143,0.8,1.2,0.857,2.837,1.229
2015-09-14,West Ham,Newcastle,2.0,0.0,H,1.0,0.0,H,2.25,0.5,1.5,1.25,6,2,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,2.0,3.0,0,0.0,1.0,1,0,0,0,0.0,1.661,0.0,2.371,0.831,2.132,0.0
2015-09-19,Newcastle,Watford,1.0,2.0,A,0.0,2.0,A,0.4,0.6,1.4,0.8,2,6,0.0,0.2,0.0,0.6,0.0,0.2,0.0,0.2,1.0,1.5,1,1.0,2.0,1,0,0,0,0.0,0.82,0.806,1.21,1.639,2.076,1.249
2015-09-19,Stoke,Leicester,2.0,2.0,D,2.0,0.0,H,0.6,2.2,1.4,1.4,2,11,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.6,0.0,1.0,0,1.5,1.0,4,0,0,0,0.0,0.0,1.195,0.797,0.823,0.0,1.219
